Categoria;Descrição ;Ref.;Saida; Rot ; Rot M ; Rot P ;CV; VC  ; Custo  ; VENDA ; MBR ; IPI ;NV;CL;EX;OR; IQ ;Fornecedor
Molduras;PROFOUND KIT MOLDURA 15X20;NZ;72;56,38;67,38;55;A;4 046;7,71;24,9;3,23;4,09;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Molduras;PROFOUND KIT MOLDURA 15X20;PT;53;45,86;55,86;60;B;3 287;7,71;24,9;3,23;4,09;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Molduras;PROFOUND KIT MOLDURA 20X25;PT;22;24,76;34,1;35;C;2 233;11,08;34,9;3,15;3,99;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Molduras;PRONTA BOX KIT MOLDURA 20X25;BR;45;35,16;72,33;15;A;4 628;23,81;54,9;2,31;2,31;SU;U;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;PRONTA BOX KIT MOLDURA 20X25;PT;18;19,25;48,6;15;B;2 534;24,99;54,9;2,2;2,2;SU;U;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;PRONTA BOX KIT MOLDURA 30X40;BR;29;21,19;42,9;10;A;4 344;32,89;74,9;2,28;2,28;SU;U;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;PRONTA BOX KIT MOLDURA 30X40;PT;27;18,66;38,1;10;B;3 224;34,35;74,9;2,18;2,18;SU;U;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;PRONTA LUBERON KIT MOLDURA 20X25;BP;38;31,1;38,1;15;B;2 826;11,47;32;2,79;2,61;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Molduras;PRONTA LUBERON KIT MOLDURA 24X30;BP;19;23,52;33,46;10;C;2 256;13,46;34,9;2,59;2,43;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Molduras;PRONTA LUBERON KIT MOLDURA 30X40;BP;12;17,23;26,5;8;C;1 988;17,43;42;2,41;2,25;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
