Categoria;Descrição ;Ref.;Saida; Rot ; Rot M ; Rot P ;CV; VC  ; Custo  ; VENDA ; MBR ; IPI ;NV;CL;EX;OR; IQ ;Fornecedor
Quadros;BARISTA QUADRO CO. 20X20 4VRD.;PTMC;46;38;49;30;A;3 584;13,8;34,9;2,53;0;IN;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;BIKE CYCLE QUADRO SQ. 30X28 2VRD.;TBBG;25;26;27;30;C;1 044;15,9;38,5;2,42;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;BISTRO CAFÉ QUADRO SQ. 33X33 2VRD.;PTMC;20;17;21;15;A;3 258;29,9;74,9;2,51;0;IN;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;BISTRO QUADRO CO. 4VRD 18X33;PTMC;50;35;47;20;B;2 727;12,9;29,9;2,32;0;ST;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;BLOSSOM QUADRO SQ. 2VRD 83X83;NTMC;13;13;46;5;X;6 226;80,6;199,9;2,48;0;SU;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;CANDID QUADRO SQ. 22X22 C/3;BRIN;;0;0;20;C;;52,43;139,9;2,67;0;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Quadros;CÉU & MAR QUADRO SQ. 2VRD 53X22;BRMC;25;13;42;10;B;2 322;29,48;72;2,44;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;COFFEE SHOP QUADRO SQ. 72X73;NTMC;16;13;30;14;A;5 273;64,87;159,9;2,46;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;COFFEE-BREAK QUADRO CO. 3VRD 26X34;PTMC;21;28;58;24;A;3 797;21,97;54,9;2,5;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;COKE PIN-UPS CLOSE PLACA SQ 2VRD 31X40;MC;;2;3;15;C;617;41,8;99,9;2,39;0;IN;U;EX;IMP;0;ALIMPORT DIST. I. E C. DE UTIL. D
Quadros;CORUJA-TOON QUADRO CR. 33X33 2VRD.;BRMC;23;23;24;20;C;1 154;23,9;54,9;2,3;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;DE BIASI QUADRO SQ. VRD. 32X42;PT;10;17;24;10;B;2 928;27,98;69,9;2,5;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;DISTINI VINI QUADRO CO. 4VRD 13X28;NTMC;44;31;62;25;B;2 907;14,95;37,5;2,51;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;DOUX MESSAGES QUADRO SQ. 2VRD 30X35;BPMC;15;17;29;10;A;3 719;35;82;2,34;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;DOWNTOWN QUADRO SQ. 23X28 4VRD.;PTMC;;1;3;25;C;-4;13;29,9;2,3;0;ST;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;EIGHTIES QUADRO SQ. 34X23 3VRD.;NTMC;5;13;19;25;C;650;19,9;44,9;2,26;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;ERVAS QUADRO CO. 3VRD. 20X20;BRCT;27;28;46;12;B;3 062;18,81;44,9;2,39;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;EXOTIQUES QUADRO SQ. 4VRD 27X57;NTMC;22;18;32;15;A;3 375;34,9;79,9;2,29;0;IN;N;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;FIORI GRIGIO QUADRO SQ. 2VRD 52X52;PTBR;12;20;39;12;X;5 364;50,7;119,9;2,36;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;FLORES RAIO-X QD. SQ. 30X30 2VRD.;BRAV;;0;0;0;C;;0;;0;0;IN;U;EX;N;0;
Quadros;FLORES RAIO-X QD. SQ. 30X30 2VRD.;BRTU;;0;0;0;C;;0;;0;0;IN;U;EX;N;0;
Quadros;FRESH FRUIT QUADRO CO. 3VRD 32X32;GAMC;10;19;32;10;B;2 729;26;59,9;2,3;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;HERBE DE PROVENCE QUADRO SQ. 2VRD 22X22;BPMC;40;31;37;12;B;2 658;14,9;34,9;2,34;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;HIPNOTIC QUADRO SQ. 2VRD 43X43;PT;20;19;22;12;A;3 598;29,38;72;2,45;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;JETRO QUADRO SQ. 4VRD 36X44;MC;8;7;11;18;C;1 234;31,9;74,9;2,35;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;KINDNESS QUADRO SQ. 24X29 3VRD.;PTVM;12;14;17;35;C;428;14,9;34,9;2,34;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;LIBÉLULA POST CARD QUADRO SQ. 37X29 4VRD;BPMC;5;6;8;20;C;908;27,5;69,9;2,54;0;IN;R;EX;N;2;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;LOUCAS QUADRO CO. 3VRD. 20X20;BRBP;25;24;44;10;A;3 365;18,81;49,9;2,65;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;MABRIER QUADRO SQ. 4VRD 22X22;BPMC;68;57;103;20;A;5 059;12,49;34,5;2,76;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;MADEMOISELLE QUADRO SQ. 4VRD. 13X28;PTMC;36;32;49;22;B;2 778;10,5;29,9;2,85;0;ST;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;MAMORA QUADRO SQ. 3VRD 30X30;TBZA;32;29;64;30;B;2 421;14,5;34,9;2,41;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;MAPA-MUNDI QUADRO SQ. 33X33 2VRD.;GABG;36;32;32;25;C;1 310;16,9;39,9;2,36;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;MAPSTER QUADRO SQ. 30X57 C/3;BR;7;5;5;10;C;892;102,8;259,9;2,53;0;SU;U;EX;IMP;0;TERRA NOVA TRADING S/A
Quadros;MINEROBULOS QUADRO SQ. 4VRD 62X62;BRMI;10;9;22;6;A;3 236;84;192;2,29;0;SU;U;EX;N;1;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;MONDRIAN QUADRO SQ. 3VRD 47X47;BRMC;12;17;26;6;A;3 619;44,5;96;2,16;0;IN;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;NATUREZA VIVA QUADRO SQ. 3VRD 46X46;GANT;13;12;36;10;B;2 883;50;112;2,24;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;NIGHT IN PARIS QUADRO SQ. 83X83;PTBR;12;12;25;8;A;5 328;77,87;194,9;2,5;0;SU;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;NOVA YORK QUADRO SQ. 2VRD 73X73;PTBR;4;6;21;4;B;2 983;118,3;259,9;2,2;0;SU;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;O'CLOCK QUADRO SQ. 32X32 4VRD.;PTBR;;0;2;20;C;;17;39,9;2,35;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;PAISAGEM BUCÓLICA QUADRO SQ. 28X28 2VRD;GAMC;18;13;17;25;C;1 464;19;44,9;2,36;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;PARC NATUREL QUADRO SQ. 23X28 4VRD.;NZMC;;0;0;0;C;;0;;0;0;ST;R;EX;N;0;
Quadros;PARIS QUADRO SQ. 4VRD 28X28;PTBR;38;48;114;25;A;5 194;17,55;44,9;2,56;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;POP LADRILHO QUADRO SQ. 3VRD 53X53;AUBG;7;8;18;4;A;5 153;115;265;2,3;0;SU;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;RECIFLOR QUADRO SQ. 6VRD. 15X15;TBCM;84;81;681;40;A;4 289;9,97;24,9;2,5;0;ST;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;ROUGE VINS QUADRO SQ. 28X58 2VRD.;PTVH;13;13;13;14;C;1 208;32,9;79,9;2,43;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;SCRITTORI QUADRO SQ. 33X33 2VRD.;NTCL;19;26;31;20;C;834;13;29,9;2,3;0;ST;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;SÉPIA PORTRAIT QUADRO SQ. 24X30 3VRD.;TMG;;0;2;15;C;;22;49,9;2,27;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;SPRING QUADRO SQ. 2VRD 84X69;BRPT;34;28;51;6;X;12 622;75,4;198,5;2,63;0;SU;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;TIMES SQUARE QUADRO SQ. 3VRD 53X53;PTMC;6;6;18;6;B;2 792;99,84;249,9;2,5;0;SU;U;EX;N;0;JARDIM DAS ARTES LTDA
